word,word_normalized,length,char_counts
دندانه,دندانه,6,"{""د"": 2, ""ن"": 2, ""ا"": 1, ""ه"": 1}"
راننده,راننده,6,"{""ر"": 1, ""ا"": 1, ""ن"": 2, ""د"": 1, ""ه"": 1}"
موسی,موسی,4,"{""م"": 1, ""و"": 1, ""س"": 1, ""ی"": 1}"
همسر,همسر,4,"{""ه"": 1, ""م"": 1, ""س"": 1, ""ر"": 1}"
سمور,سمور,4,"{""س"": 1, ""م"": 1, ""و"": 1, ""ر"": 1}"
سیاره,سیاره,5,"{""س"": 1, ""ی"": 1, ""ا"": 1, ""ر"": 1, ""ه"": 1}"
سوریه,سوریه,5,"{""س"": 1, ""و"": 1, ""ر"": 1, ""ی"": 1, ""ه"": 1}"
روسیه,روسیه,5,"{""ر"": 1, ""و"": 1, ""س"": 1, ""ی"": 1, ""ه"": 1}"
سماور,سماور,5,"{""س"": 1, ""م"": 1, ""ا"": 1, ""و"": 1, ""ر"": 1}"
مساوی,مساوی,5,"{""م"": 1, ""س"": 1, ""ا"": 1, ""و"": 1, ""ی"": 1}"
موسیر,موسیر,5,"{""م"": 1, ""و"": 1, ""س"": 1, ""ی"": 1, ""ر"": 1}"
ارومیه,ارومیه,6,"{""ا"": 1, ""ر"": 1, ""و"": 1, ""م"": 1, ""ی"": 1, ""ه"": 1}"
سرمایه,سرمایه,6,"{""س"": 1, ""ر"": 1, ""م"": 1, ""ا"": 1, ""ی"": 1, ""ه"": 1}"
قیام,قیام,4,"{""ق"": 1, ""ی"": 1, ""ا"": 1, ""م"": 1}"
نماز,نماز,4,"{""ن"": 1, ""م"": 1, ""ا"": 1, ""ز"": 1}"
زمین,زمین,4,"{""ز"": 1, ""م"": 1, ""ی"": 1, ""ن"": 1}"
قرآن,قران,4,"{""ق"": 1, ""ر"": 1, ""ا"": 1, ""ن"": 1}"
زمان,زمان,4,"{""ز"": 1, ""م"": 1, ""ا"": 1, ""ن"": 1}"
قرمز,قرمز,4,"{""ق"": 1, ""ر"": 1, ""م"": 1, ""ز"": 1}"
قناری,قناری,5,"{""ق"": 1, ""ن"": 1, ""ا"": 1, ""ر"": 1, ""ی"": 1}"
نیزار,نیزار,5,"{""ن"": 1, ""ی"": 1, ""ز"": 1, ""ا"": 1, ""ر"": 1}"
منقار,منقار,5,"{""م"": 1, ""ن"": 1, ""ق"": 1, ""ا"": 1, ""ر"": 1}"
میزان,میزان,5,"{""م"": 1, ""ی"": 1, ""ز"": 1, ""ا"": 1, ""ن"": 1}"
سیب,سیب,3,"{""س"": 1, ""ی"": 1, ""ب"": 1}"
نیش,نیش,3,"{""ن"": 1, ""ی"": 1, ""ش"": 1}"
شیب,شیب,3,"{""ش"": 1, ""ی"": 1, ""ب"": 1}"
تشک,تشک,3,"{""ت"": 1, ""ش"": 1, ""ک"": 1}"
سبک,سبک,3,"{""س"": 1, ""ب"": 1, ""ک"": 1}"
بست,بست,3,"{""ب"": 1, ""س"": 1, ""ت"": 1}"
کشتی,کشتی,4,"{""ک"": 1, ""ش"": 1, ""ت"": 1, ""ی"": 1}"
شکست,شکست,4,"{""ش"": 1, ""ک"": 1, ""س"": 1, ""ت"": 1}"
بیست,بیست,4,"{""ب"": 1, ""ی"": 1, ""س"": 1, ""ت"": 1}"
تنیس,تنیس,4,"{""ت"": 1, ""ن"": 1, ""ی"": 1, ""س"": 1}"
بستنی,بستنی,5,"{""ب"": 1, ""س"": 1, ""ت"": 1, ""ن"": 1, ""ی"": 1}"
فوت,فوت,3,"{""ف"": 1, ""و"": 1, ""ت"": 1}"
فکر,فکر,3,"{""ف"": 1, ""ک"": 1, ""ر"": 1}"
وفا,وفا,3,"{""و"": 1, ""ف"": 1, ""ا"": 1}"
برف,برف,3,"{""ب"": 1, ""ر"": 1, ""ف"": 1}"
باک,باک,3,"{""ب"": 1, ""ا"": 1, ""ک"": 1}"
کافر,کافر,4,"{""ک"": 1, ""ا"": 1, ""ف"": 1, ""ر"": 1}"
کتاب,کتاب,4,"{""ک"": 1, ""ت"": 1, ""ا"": 1, ""ب"": 1}"
باکو,باکو,4,"{""ب"": 1, ""ا"": 1, ""ک"": 1, ""و"": 1}"
تفکر,تفکر,4,"{""ت"": 1, ""ف"": 1, ""ک"": 1, ""ر"": 1}"
برفک,برفک,4,"{""ب"": 1, ""ر"": 1, ""ف"": 1, ""ک"": 1}"
کفتار,کفتار,5,"{""ک"": 1, ""ف"": 1, ""ت"": 1, ""ا"": 1, ""ر"": 1}"
باروت,باروت,5,"{""ب"": 1, ""ا"": 1, ""ر"": 1, ""و"": 1, ""ت"": 1}"
کبوتر,کبوتر,5,"{""ک"": 1, ""ب"": 1, ""و"": 1, ""ت"": 1, ""ر"": 1}"
شال,شال,3,"{""ش"": 1, ""ا"": 1, ""ل"": 1}"
پشه,پشه,3,"{""پ"": 1, ""ش"": 1, ""ه"": 1}"
باز,باز,3,"{""ب"": 1, ""ا"": 1, ""ز"": 1}"
پازل,پازل,4,"{""پ"": 1, ""ا"": 1, ""ز"": 1, ""ل"": 1}"
آشپز,اشپز,4,"{""ا"": 1, ""ش"": 1, ""پ"": 1, ""ز"": 1}"
بالش,بالش,4,"{""ب"": 1, ""ا"": 1, ""ل"": 1, ""ش"": 1}"
باله,باله,4,"{""ب"": 1, ""ا"": 1, ""ل"": 1, ""ه"": 1}"
شهاب,شهاب,4,"{""ش"": 1, ""ه"": 1, ""ا"": 1, ""ب"": 1}"
زباله,زباله,5,"{""ز"": 1, ""ب"": 1, ""ا"": 1, ""ل"": 1, ""ه"": 1}"
کوه,کوه,3,"{""ک"": 1, ""و"": 1, ""ه"": 1}"
تنها,تنها,4,"{""ت"": 1, ""ن"": 1, ""ه"": 1, ""ا"": 1}"
ستون,ستون,4,"{""س"": 1, ""ت"": 1, ""و"": 1, ""ن"": 1}"
کوهان,کوهان,5,"{""ک"": 1, ""و"": 1, ""ه"": 1, ""ا"": 1, ""ن"": 1}"
سوهان,سوهان,5,"{""س"": 1, ""و"": 1, ""ه"": 1, ""ا"": 1, ""ن"": 1}"
واکسن,واکسن,5,"{""و"": 1, ""ا"": 1, ""ک"": 1, ""س"": 1, ""ن"": 1}"
کوهستان,کوهستان,7,"{""ک"": 1, ""و"": 1, ""ه"": 1, ""س"": 1, ""ت"": 1, ""ا"": 1, ""ن"": 1}"
سرخ,سرخ,3,"{""س"": 1, ""ر"": 1, ""خ"": 1}"
خرس,خرس,3,"{""خ"": 1, ""ر"": 1, ""س"": 1}"
